id,title,price,rating,availability,category,image_url,product_page_url
22,How Music Works,37.32,2,In stock (19 available),Music,https://books.toscrape.com/media/cache/1d/40/1d4087ff0a63f09fae9cd8433d21c2c4.jpg,https://books.toscrape.com/catalogue/how-music-works_979/index.html
23,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,In stock (19 available),Food and Drink,https://books.toscrape.com/media/cache/9f/58/9f58d3ff6d58589eaf325b1a33c303a0.jpg,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
24,Chase Me (Paris Nights #2),25.27,5,In stock (19 available),Romance,https://books.toscrape.com/media/cache/6c/84/6c84fcf7a53b02b6e763de7272934842.jpg,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
25,Black Dust,34.53,5,In stock (19 available),Romance,https://books.toscrape.com/media/cache/a4/0a/a40af95beab828af1a4757ad1ee17da3.jpg,https://books.toscrape.com/catalogue/black-dust_976/index.html
26,Birdsong: A Story in Pictures,54.64,3,In stock (19 available),Childrens,https://books.toscrape.com/media/cache/af/2f/af2fe2419ea136f2cd567aa92082c3ae.jpg,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
27,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,In stock (19 available),Default,https://books.toscrape.com/media/cache/a3/2a/a32ab3b8c024c6c2b274a86b185e7585.jpg,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
28,Aladdin and His Wonderful Lamp,53.13,3,In stock (19 available),Default,https://books.toscrape.com/media/cache/a8/3c/a83c460fab82f35a37c0846729485547.jpg,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
29,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,In stock (18 available),Nonfiction,https://books.toscrape.com/media/cache/7b/d9/7bd93db091d736d0c6ff9d578e3ba3d7.jpg,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
30,Wall and Piece,44.18,4,In stock (18 available),Art,https://books.toscrape.com/media/cache/df/34/df346322ddfdd3b4da0e34cad17f49dc.jpg,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
31,The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock (18 available),Spirituality,https://books.toscrape.com/media/cache/2b/1b/2b1bfecae9d512cb6ee943ccf786216f.jpg,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
32,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,In stock (18 available),Nonfiction,https://books.toscrape.com/media/cache/7c/10/7c10101fe1759c5a17ba57e4bef9e764.jpg,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
33,The Elephant Tree,23.82,5,In stock (18 available),Thriller,https://books.toscrape.com/media/cache/4b/80/4b80a3d9148e224ed4d6cd4d33f43728.jpg,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
34,The Bear and the Piano,36.89,1,In stock (18 available),Childrens,https://books.toscrape.com/media/cache/d0/87/d0876dcd1a6530a4cb54903aad7a3e28.jpg,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
35,Sophie's World,15.94,5,In stock (18 available),Philosophy,https://books.toscrape.com/media/cache/d7/39/d73914232130fdf90d66f02fd9798f2b.jpg,https://books.toscrape.com/catalogue/sophies-world_966/index.html
36,Penny Maybe,33.29,3,In stock (18 available),Default,https://books.toscrape.com/media/cache/b1/4b/b14be641ab97a330891455a769d52fd3.jpg,https://books.toscrape.com/catalogue/penny-maybe_965/index.html
37,Maude (1883-1993):She Grew Up with the country,18.02,2,In stock (18 available),Default,https://books.toscrape.com/media/cache/65/bf/65bfa3acc93b0e558a1c3de1b1164742.jpg,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
38,"In a Dark, Dark Wood",19.63,1,In stock (18 available),Mystery,https://books.toscrape.com/media/cache/95/84/95840dfd67c020067c99d70451147e20.jpg,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
39,Behind Closed Doors,52.22,4,In stock (18 available),Thriller,https://books.toscrape.com/media/cache/a5/85/a58571db229f2e8f75ea38861eca7f39.jpg,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
40,You can't bury them all: Poems,33.63,2,In stock (17 available),Poetry,https://books.toscrape.com/media/cache/b7/44/b7440aa88046b0bf8cba50d59295518e.jpg,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
41,Slow States of Collapse: Poems,57.31,3,In stock (17 available),Poetry,https://books.toscrape.com/media/cache/db/ac/dbac3faca8a799824f5725d66c0fcce3.jpg,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
42,Reasons to Stay Alive,26.41,2,In stock (17 available),Nonfiction,https://books.toscrape.com/media/cache/f5/3c/f53c7d21723c860cfbca2b539bc55b8f.jpg,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
43,Private Paris (Private #10),47.61,5,In stock (17 available),Fiction,https://books.toscrape.com/media/cache/05/87/0587ab519222a61f803fa4570c325ad2.jpg,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
44,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,In stock (17 available),Nonfiction,https://books.toscrape.com/media/cache/71/45/71451e3bba61a8d888a4a2c6526a4bcf.jpg,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
45,Without Borders (Wanderlove #1),45.07,2,In stock (16 available),New Adult,https://books.toscrape.com/media/cache/de/26/de269ee688d4dc51846567f3942600ce.jpg,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
46,When We Collided,31.77,1,In stock (16 available),Contemporary,https://books.toscrape.com/media/cache/17/db/17db3de71e8217d4277a9328b04f56cf.jpg,https://books.toscrape.com/catalogue/when-we-collided_955/index.html
47,"We Love You, Charlie Freeman",50.27,5,In stock (16 available),Fiction,https://books.toscrape.com/media/cache/87/a2/87a2fddd7f6b240c0351e1eb950b6716.jpg,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
48,Untitled Collection: Sabbath Poems 2014,14.27,4,In stock (16 available),Poetry,https://books.toscrape.com/media/cache/65/6e/656e79dfd4f8b6bf19ffde2c75ceda81.jpg,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
49,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,In stock (16 available),Nonfiction,https://books.toscrape.com/media/cache/88/a4/88a4b5f7236b8a36ba972be5ebe4f252.jpg,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
50,Unicorn Tracks,18.78,3,In stock (16 available),Fantasy,https://books.toscrape.com/media/cache/9b/09/9b0935dc936c92900c2dc5d2114da72f.jpg,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
51,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,In stock (16 available),History,https://books.toscrape.com/media/cache/27/a1/27a1ebe79d6e6759ec68ea9f427a4f71.jpg,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
52,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/8b/ab/8bab133ec9f8248a8d5f5ea5c09d0f56.jpg,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
53,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,In stock (16 available),Nonfiction,https://books.toscrape.com/media/cache/f4/21/f4210912ca58ef35f8ad120fe3dfed38.jpg,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
54,This One Summer,19.49,4,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/ee/43/ee4364a59d66bafb1b3264419ab3ed9e.jpg,https://books.toscrape.com/catalogue/this-one-summer_947/index.html
55,Thirst,17.27,5,In stock (16 available),Fiction,https://books.toscrape.com/media/cache/8c/54/8c54a50576c204b80165a13545f73028.jpg,https://books.toscrape.com/catalogue/thirst_946/index.html
56,The Torch Is Passed: A Harding Family Story,19.09,1,In stock (16 available),Add a comment,https://books.toscrape.com/media/cache/c7/26/c7260547c468dbe78af92cf3927c2a1c.jpg,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
57,The Secret of Dreadwillow Carse,56.13,1,In stock (16 available),Childrens,https://books.toscrape.com/media/cache/7b/fd/7bfde4a3d6793f13e9a2d8851a398847.jpg,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
58,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,In stock (16 available),Food and Drink,https://books.toscrape.com/media/cache/fd/af/fdaf3c3104c559941c01e840fecd2659.jpg,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
59,The Past Never Ends,56.5,4,In stock (16 available),Mystery,https://books.toscrape.com/media/cache/9d/f2/9df248dcefeaba9eeb519a59b248f72c.jpg,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
60,The Natural History of Us (The Fine Art of Pretending #2),45.22,3,In stock (16 available),Young Adult,https://books.toscrape.com/media/cache/da/b8/dab87c14168f3ce18530447ec6437361.jpg,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
61,The Nameless City (The Nameless City #1),38.16,4,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/19/de/19deee0778c2406da04a4dd0ea09188f.jpg,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
62,The Murder That Never Was (Forensic Instincts #5),54.11,3,In stock (16 available),Fiction,https://books.toscrape.com/media/cache/29/e0/29e036acd8a6e3daa787ce2bc05bdbbb.jpg,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
63,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,In stock (16 available),Science,https://books.toscrape.com/media/cache/a3/9e/a39e7c5c9fc61c2ae0f81116aa8cbb0e.jpg,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
64,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,In stock (16 available),Add a comment,https://books.toscrape.com/media/cache/c9/eb/c9eb6ecf45abf796df0044600db65e55.jpg,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
65,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,In stock (16 available),Nonfiction,https://books.toscrape.com/media/cache/26/65/2665876e19a6c92130f02cfda3bd3846.jpg,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
66,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,In stock (16 available),Default,https://books.toscrape.com/media/cache/a5/b8/a5b8d2d5165a06fc762e8eaf8b04f98f.jpg,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
67,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,In stock (16 available),Nonfiction,https://books.toscrape.com/media/cache/73/cb/73cb1236d96f455d712516fffeae2304.jpg,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
68,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,In stock (16 available),Nonfiction,https://books.toscrape.com/media/cache/b1/0f/b10faf0dee8994865437ffc79682dc2f.jpg,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
69,The Death of Humanity: and the Case for Life,58.11,4,In stock (16 available),Philosophy,https://books.toscrape.com/media/cache/3f/f6/3ff6fe5d0c5ca7ab2ed8b5971e299caa.jpg,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
70,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,In stock (16 available),Health,https://books.toscrape.com/media/cache/9c/c6/9cc673854af8fd155953384b3cac334e.jpg,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
71,The Art Forger,40.76,3,In stock (16 available),Add a comment,https://books.toscrape.com/media/cache/f5/3b/f53bc7b18914c97de7c23967293be119.jpg,https://books.toscrape.com/catalogue/the-art-forger_930/index.html
72,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,In stock (16 available),History,https://books.toscrape.com/media/cache/2e/65/2e654066306042f4c462ba4d048650d9.jpg,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html
73,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,In stock (16 available),Spirituality,https://books.toscrape.com/media/cache/da/0c/da0ca35421a5120b2109028e44a53f56.jpg,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html
74,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,In stock (16 available),Nonfiction,https://books.toscrape.com/media/cache/17/19/1719475c51206a410a90fe5f3708df4c.jpg,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html
75,Soul Reader,39.58,2,In stock (16 available),Default,https://books.toscrape.com/media/cache/cc/5e/cc5e82c2205da748c6c19fbc1876586b.jpg,https://books.toscrape.com/catalogue/soul-reader_926/index.html
76,Security,39.25,2,In stock (16 available),Horror,https://books.toscrape.com/media/cache/79/2b/792bdeb2cf7d8efaef0e401e5a27b4da.jpg,https://books.toscrape.com/catalogue/security_925/index.html
77,"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,In stock (16 available),Fantasy,https://books.toscrape.com/media/cache/4a/99/4a996ae54711cea37e370428b54f8b19.jpg,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html
78,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/60/3c/603c8f3dd299efe67616a53e5bfb1d03.jpg,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
79,Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,In stock (16 available),Nonfiction,https://books.toscrape.com/media/cache/2c/d2/2cd2b814b8a8cd3a49895cbd13a8b1f4.jpg,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
80,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/d5/d0/d5d015a9cf899301cce5d1a629bdd974.jpg,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
81,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/6c/8f/6c8ffe949fb650ba60eff25be1692881.jpg,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
82,Princess Between Worlds (Wide-Awake Princess #5),13.34,5,In stock (16 available),Fantasy,https://books.toscrape.com/media/cache/db/01/db01b38d3200a5faff4ead42791416e4.jpg,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html
83,"Pop Gun War, Volume 1: Gift",18.97,1,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/6f/7b/6f7b3b8445b943f4ff7426360daefb88.jpg,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
84,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,In stock (16 available),History,https://books.toscrape.com/media/cache/31/e6/31e6e0a41e62858180b268c27b20a770.jpg,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html
85,Patience,10.16,3,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/71/0c/710cdaa148f10aac35c27bb93b4f532e.jpg,https://books.toscrape.com/catalogue/patience_916/index.html
86,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/0c/8a/0c8ae80b592bc1b4c555d6b29d1cfa28.jpg,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
87,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/33/0b/330bf57e3f2e70548f87d39cb956f7eb.jpg,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
88,Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,In stock (16 available),Self Help,https://books.toscrape.com/media/cache/49/e1/49e1f207b2149e34390a2c6aa7cfc113.jpg,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html
89,On a Midnight Clear,14.07,3,In stock (16 available),Add a comment,https://books.toscrape.com/media/cache/75/9d/759d9276739200e2cb8101a36449ba20.jpg,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html
90,Obsidian (Lux #1),14.86,2,In stock (16 available),Young Adult,https://books.toscrape.com/media/cache/88/3f/883fb0f2304efca8724c629f03a4b82a.jpg,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html
91,My Paris Kitchen: Recipes and Stories,33.37,2,In stock (16 available),Food and Drink,https://books.toscrape.com/media/cache/ae/d5/aed548aefcac7803a599b05da3acb86e.jpg,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html
92,Masks and Shadows,56.4,2,In stock (16 available),Fantasy,https://books.toscrape.com/media/cache/05/c4/05c43fe821ae19169c7baa8a54c7e869.jpg,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html
93,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,In stock (16 available),Food and Drink,https://books.toscrape.com/media/cache/48/19/48192cbef9101060e3787d87d7c8d7d1.jpg,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
94,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/67/f8/67f83a06f77d0ff3b06cb8ac04839422.jpg,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
95,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/1c/78/1c78cb31ededc4c662857cf65bd1619d.jpg,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
96,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/d6/9b/d69b7020c4210e12882ffca0428919a2.jpg,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
97,"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,In stock (16 available),Food and Drink,https://books.toscrape.com/media/cache/73/06/7306b860c7887dfb2a4b0083e2d6bf0d.jpg,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html
98,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,In stock (16 available),Add a comment,https://books.toscrape.com/media/cache/6d/80/6d80608ef81001ad068df06fae44b7f8.jpg,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html
99,Join,35.67,5,In stock (16 available),Science Fiction,https://books.toscrape.com/media/cache/df/64/df642e483f7ae23de6888c73f05e2014.jpg,https://books.toscrape.com/catalogue/join_902/index.html
100,In the Country We Love: My Family Divided,22.0,4,In stock (16 available),Nonfiction,https://books.toscrape.com/media/cache/11/08/1108a8d9ebccd9cd474012121c32a7f5.jpg,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html
101,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,In stock (16 available),Science,https://books.toscrape.com/media/cache/e1/1e/e11e7e9514a123aee2415a1def85e638.jpg,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
102,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/58/e2/58e2097169e92a95d973da420ce7cc98.jpg,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
